1,M. Rahmati,33,G
22,H. Hosseini,24,G
3,Robson,22,D
4,R. Cheshmi,23,D
5,M. Kanani,22,D
15,H. Mkoyan,30,D
18,M. Zakipour,21,D
20,M. Majidi,30,D
21,V. Ghafouri,29,D
33,M. Hosseini,20,D
55,M. Haj Mohammadi,25,D
90,Padovani,33,D
2,K. Heydari,33,M
6,O. Ebrahimi,29,M
7,B. Rahmani,25,M
14,F. Bagheri,24,M
24,O. Noorafkan,19,M
28,M. Karimi,22,M
88,F. Esmaeili,22,M
8,Y. Karimi,25,A
9,K. Rezaei,24,A
11,J. Ansari,29,A
16,A. Afshin,27,A
17,Ali Ghorbani,26,A
74,M. Haghdoust,20,A
77,B. Barzay,23,A
